title,comm_add,price_det,unit_price,size,buildTime,detail_link
^^^^^^
外滩名著超大的海景视野、巨无霸的海景效果 万亩湿地公园相^外滩名著(机场路)  [大理市-大理市 机场路,近裕龙大道]^87^6000元/m²^145m²^2017年建造^http://dali.anjuke.com/prop/view/A804976580?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=1&now_time=1492419410
这么低的价格就可以坐在客厅看见海景  您还要等什么^外滩名著(机场路)  [大理市-大理市 机场路,近裕龙大道]^88^5176元/m²^170m²^2017年建造^http://dali.anjuke.com/prop/view/A725091674?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=2&now_time=1492419410
石化小区大户型,精装修,低价出售,小区仅此一套^李泽花^85^5555元/m²^153m²^^http://dali.anjuke.com/prop/view/E331629870?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=3&now_time=1492419410
生活便利.环境优美交通方便^三豪花园  [大理市-大理市 苍山路]^85^6538元/m²^130m²^^http://dali.anjuke.com/prop/view/E328227548?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=4&now_time=1492419410
七小旁边适合孩子读书和老人居住的楼梯房^潘玉宝^85^6390元/m²^133m²^^http://dali.anjuke.com/prop/view/E322889260?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=5&now_time=1492419410
南地观天下 4室2厅2卫 127㎡精装出售^南地观天下  [大理市-大理市 开发区]^63^4960元/m²^127m²^^http://dali.anjuke.com/prop/view/E332128609?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=6&now_time=1492419410
大理市鸿城广场 4室2厅2卫 147㎡^鸿城广场  [大理市-大理市 泰安路]^86^5850元/m²^147m²^^http://dali.anjuke.com/prop/view/E323289592?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=7&now_time=1492419410
大理市文化路上段单 4室2厅2卫 120㎡^文化路上段单位房  [大理市-大理市 文化路上段]^86^7166元/m²^120m²^^http://dali.anjuke.com/prop/view/E329140931?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=8&now_time=1492419410
大理市质监局宿舍 4室2厅2卫 120㎡^张宏石^90^7500元/m²^120m²^^http://dali.anjuke.com/prop/view/E324285698?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=9&now_time=1492419410
兴盛路兴盛小区 错层满2年诚心出售^施雅涓^88^6567元/m²^134m²^^http://dali.anjuke.com/prop/view/E329598166?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=10&now_time=1492419410
急售南帝观天下精装四居室127平米^南帝观天下  [大理市-大理市 巍山路与沧浪路口]^85^6538元/m²^130m²^^http://dali.anjuke.com/prop/view/E324697774?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=11&now_time=1492419410
大理市外滩名著 4室2厅2卫 156㎡大户型 一线海景房^曾光^80^5128元/m²^156m²^^http://dali.anjuke.com/prop/view/E321427059?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=12&now_time=1492419410
海东新城 4室2厅3卫^奚女士^80^4097元/m²^195m²^^http://dali.anjuke.com/prop/view/H322893338?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=13&now_time=1492419410
石化小区大平层 4室 153m²，南北向，三楼^刘彪^98^6405元/m²^153m²^^http://dali.anjuke.com/prop/view/E330742708?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=14&now_time=1492419410
海东新城 4室2厅2卫 160平米^赵先生^65^4062元/m²^160m²^^http://dali.anjuke.com/prop/view/H324293514?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=15&now_time=1492419410
海东新城天然气入户自来水直引四所大学六所高中配套^赵晓波^60^3870元/m²^155m²^^http://dali.anjuke.com/prop/view/E330394439?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=16&now_time=1492419410
大理市鸿城广场 4室2厅2卫 147㎡^鸿城广场  [大理市-大理市 泰安路]^86^5850元/m²^147m²^^http://dali.anjuke.com/prop/view/E320632713?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=17&now_time=1492419410
大理新层所剩不多大户型平层,一梯两户,南北通透,户型正气^韩芳^61^3897元/m²^156m²^^http://dali.anjuke.com/prop/view/E328537467?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=18&now_time=1492419410
大理市海东新城 4室2厅1卫 160㎡特价房出售^肖丽芬^76^4750元/m²^160m²^^http://dali.anjuke.com/prop/view/E331995899?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=19&now_time=1492419410
自由派 4室 89m²^钱建洁^58^6516元/m²^89m²^^http://dali.anjuke.com/prop/view/E325469095?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=20&now_time=1492419410
大理市河畔金色 4室2厅2卫 132㎡^河畔金色  [大理市-大理市 市中心]^92^6969元/m²^132m²^^http://dali.anjuke.com/prop/view/E331212615?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=21&now_time=1492419410
大理市幸福里4室2厅2卫133平米^幸福里  [大理市-大理市 巍山路口]^72^5413元/m²^133m²^^http://dali.anjuke.com/prop/view/E331691446?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=22&now_time=1492419410
惠丰新城昭园内滇纺产宿舍 4室 84m²^罗枝红^75^8928元/m²^84m²^^http://dali.anjuke.com/prop/view/E323332464?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=23&now_time=1492419410
开发区石化小区153㎡南北通透四房急卖^石化小区  [大理市-大理市 下关大理建材城]^85^5555元/m²^153m²^^http://dali.anjuke.com/prop/view/E325293446?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=24&now_time=1492419410
大理市三豪花园 4室2厅2卫 130㎡^三豪花园  [大理市-大理市 苍山路]^85^6538元/m²^130m²^^http://dali.anjuke.com/prop/view/E332045791?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=25&now_time=1492419410
大理市北区雪人路斜阳小区工行宿舍好房出售^何罗芬^80^7017元/m²^114m²^^http://dali.anjuke.com/prop/view/E328564932?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=26&now_time=1492419410
大理市建标华城海琴 4室2厅2卫 144.55㎡^建标华城海琴湾  [大理市-大理市 开发区]^72^4980元/m²^145m²^^http://dali.anjuke.com/prop/view/E330400070?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=27&now_time=1492419410
大理市三江雅苑 4室2厅2卫 140㎡^三江雅苑  [大理市-大理市 下关小花园]^80^5714元/m²^140m²^^http://dali.anjuke.com/prop/view/E329765693?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=28&now_time=1492419410
大理市河畔金色 4室2厅2卫 132㎡^河畔金色  [大理市-大理市 市中心]^95^7196元/m²^132m²^^http://dali.anjuke.com/prop/view/E321301309?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=29&now_time=1492419410
建标华城 68万 4室2厅2卫 毛坯好楼层好位置(双证齐全)^建标华城  [大理市-大理市 龙山办公区东侧]^68^4846元/m²^140m²^^http://dali.anjuke.com/prop/view/E326351826?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=30&now_time=1492419410
大理市双鸳花园 小 4室2厅2卫 119㎡^杨增禄^73^6134元/m²^119m²^^http://dali.anjuke.com/prop/view/E329848586?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=31&now_time=1492419410
精致端头四室 实用高效 轩敞设计 诚心出售^石化小区  [大理市-大理市 下关大理建材城]^77^6637元/m²^116m²^^http://dali.anjuke.com/prop/view/E331222850?from=structured_dict&spread=filtersearch_p&ab=expclick-AJKERSHOUFANG_101_sortrand_desc&position=32&now_time=1492419410
